Date,HS_I,5,66,1,16,3,11
2001/1/8,15436.53027,64.970154,8.426585,36.867569,47.80695,1.235609,41.329685
2001/1/9,15500.58984,65.799561,8.485106,36.338406,46.073761,1.282235,42.128326
2001/1/10,15435.79004,64.140747,8.660657,36.338406,46.362644,1.282235,42.327976
2001/1/11,15090.76953,63.58783,8.426585,34.838982,45.207184,1.253093,41.529354
2001/1/12,15295.41992,63.58783,8.368069,35.985619,46.651489,1.247265,40.930367
2001/1/15,15293.75977,62.481949,8.104739,35.809204,45.496029,1.206467,40.730705
2001/1/16,15363.15039,63.034885,8.075479,36.514774,45.351612,1.229782,40.131721
2001/1/17,15261.48047,62.758408,7.987701,36.514774,45.640461,1.276407,41.130016
2001/1/18,15528.75,63.864285,8.046217,36.691216,46.507065,1.264748,40.531048
2001/1/19,15933.54981,64.140747,7.958443,37.043999,48.529091,1.247265,41.529354
2001/1/22,16099.26953,64.69368,8.016959,37.043999,49.106834,1.282235,42.527649
2001/1/23,16044.20996,65.799561,8.046217,36.161995,47.518082,1.270579,41.729012
2001/1/24,null,65.799561,null,null,null,null,null
2001/1/25,null,65.799561,null,null,null,null,null
2001/1/26,null,65.799561,null,null,null,null,null
2001/1/29,16099.82031,67.181915,8.368069,36.338406,46.94035,1.264748,41.130016
2001/1/30,15893.07031,66.905441,8.338809,35.456409,45.062748,1.299718,40.730705
2001/1/31,16102.34961,67.181915,8.485106,36.514774,46.795921,1.30555,40.930367
2001/2/1,16163.99023,66.352509,8.485106,36.514774,47.518082,1.328861,40.930367
2001/2/2,16071.29004,66.076035,8.397328,36.161995,47.084793,1.30555,40.930367
2001/2/5,15830.83984,65.799561,8.338809,35.809204,45.784897,1.299718,40.131721
2001/2/6,15913.24023,66.628975,8.280293,35.985619,46.362644,1.311378,40.730705
2001/2/7,16049.46973,66.628975,8.192513,36.338406,46.218193,1.328861,41.130016
2001/2/8,15909.40039,66.628975,8.338809,35.632778,45.640461,1.387146,40.730705
2001/2/9,15873.28027,66.352509,8.426585,35.279991,45.351612,1.398802,40.331375
2001/2/12,15693.11035,65.799561,8.338809,34.662609,45.062748,1.363831,39.932064
2001/2/13,15842.71973,66.352509,8.455842,34.574406,47.66251,1.358004,40.531048
2001/2/14,15860.41992,66.628975,8.368069,35.103565,48.09581,1.340517,40.730705
2001/2/15,15756.37012,66.628975,8.338809,34.574406,47.66251,1.340517,40.131721
2001/2/16,15630.30957,66.076035,8.338809,34.486195,46.795921,1.311378,40.131721
2001/2/19,15490.95996,65.523109,8.397328,34.574406,47.951382,1.334689,39.932064
2001/2/20,15527.36035,65.799561,8.368069,34.397987,47.951382,1.352176,40.531048
2001/2/21,15351.50977,64.970154,8.309552,34.486195,48.240231,1.358004,40.531048
2001/2/22,15098.63965,63.864285,8.338809,33.692402,47.66251,1.346348,40.730705
2001/2/23,15280.55957,64.69368,8.368069,33.163185,48.817947,1.346348,40.730705
